Species,Time,Individuals,Treatment
Paramecium aurelia,0,2,Monoculture
Paramecium aurelia,2,14,Monoculture
Paramecium aurelia,3,34,Monoculture
Paramecium aurelia,4,56,Monoculture
Paramecium aurelia,5,94,Monoculture
Paramecium aurelia,6,189,Monoculture
Paramecium aurelia,7,266,Monoculture
Paramecium aurelia,8,330,Monoculture
Paramecium aurelia,9,416,Monoculture
Paramecium aurelia,10,507,Monoculture
Paramecium aurelia,11,580,Monoculture
Paramecium aurelia,12,610,Monoculture
Paramecium aurelia,13,513,Monoculture
Paramecium aurelia,14,593,Monoculture
Paramecium aurelia,15,557,Monoculture
Paramecium aurelia,16,560,Monoculture
Paramecium aurelia,17,522,Monoculture
Paramecium aurelia,18,565,Monoculture
Paramecium aurelia,19,517,Monoculture
Paramecium aurelia,20,500,Monoculture
Paramecium aurelia,21,585,Monoculture
Paramecium aurelia,22,500,Monoculture
Paramecium aurelia,23,495,Monoculture
Paramecium aurelia,24,525,Monoculture
Paramecium aurelia,25,510,Monoculture
Paramecium caudatum,0,2,Monoculture
Paramecium caudatum,2,10,Monoculture
Paramecium caudatum,3,10,Monoculture
Paramecium caudatum,4,11,Monoculture
Paramecium caudatum,5,21,Monoculture
Paramecium caudatum,6,56,Monoculture
Paramecium caudatum,7,104,Monoculture
Paramecium caudatum,8,137,Monoculture
Paramecium caudatum,9,165,Monoculture
Paramecium caudatum,10,194,Monoculture
Paramecium caudatum,11,217,Monoculture
Paramecium caudatum,12,199,Monoculture
Paramecium caudatum,13,201,Monoculture
Paramecium caudatum,14,182,Monoculture
Paramecium caudatum,15,192,Monoculture
Paramecium caudatum,16,179,Monoculture
Paramecium caudatum,17,190,Monoculture
Paramecium caudatum,18,206,Monoculture
Paramecium caudatum,19,209,Monoculture
Paramecium caudatum,20,196,Monoculture
Paramecium caudatum,21,195,Monoculture
Paramecium caudatum,22,234,Monoculture
Paramecium caudatum,23,210,Monoculture
Paramecium caudatum,24,210,Monoculture
Paramecium caudatum,25,180,Monoculture
Paramecium aurelia,0,2,Mixture
Paramecium aurelia,2,10,Mixture
Paramecium aurelia,3,21,Mixture
Paramecium aurelia,4,58,Mixture
Paramecium aurelia,5,92,Mixture
Paramecium aurelia,6,202,Mixture
Paramecium aurelia,7,163,Mixture
Paramecium aurelia,8,221,Mixture
Paramecium aurelia,9,293,Mixture
Paramecium aurelia,10,236,Mixture
Paramecium aurelia,11,303,Mixture
Paramecium aurelia,12,302,Mixture
Paramecium aurelia,13,340,Mixture
Paramecium aurelia,14,387,Mixture
Paramecium aurelia,15,335,Mixture
Paramecium aurelia,16,363,Mixture
Paramecium aurelia,17,323,Mixture
Paramecium aurelia,18,358,Mixture
Paramecium aurelia,19,308,Mixture
Paramecium aurelia,20,350,Mixture
Paramecium aurelia,21,330,Mixture
Paramecium aurelia,22,350,Mixture
Paramecium aurelia,23,350,Mixture
Paramecium aurelia,24,330,Mixture
Paramecium aurelia,25,350,Mixture
Paramecium caudatum,0,2,Mixture
Paramecium caudatum,2,10,Mixture
Paramecium caudatum,3,11,Mixture
Paramecium caudatum,4,29,Mixture
Paramecium caudatum,5,50,Mixture
Paramecium caudatum,6,88,Mixture
Paramecium caudatum,7,102,Mixture
Paramecium caudatum,8,124,Mixture
Paramecium caudatum,9,93,Mixture
Paramecium caudatum,10,80,Mixture
Paramecium caudatum,11,66,Mixture
Paramecium caudatum,12,83,Mixture
Paramecium caudatum,13,55,Mixture
Paramecium caudatum,14,67,Mixture
Paramecium caudatum,15,52,Mixture
Paramecium caudatum,16,55,Mixture
Paramecium caudatum,17,40,Mixture
Paramecium caudatum,18,48,Mixture
Paramecium caudatum,19,47,Mixture
Paramecium caudatum,20,50,Mixture
Paramecium caudatum,21,40,Mixture
Paramecium caudatum,22,20,Mixture
Paramecium caudatum,23,20,Mixture
Paramecium caudatum,24,35,Mixture
Paramecium caudatum,25,20,Mixture
